Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_1,6,1000/(n),OA Kelley,67.16140103340149,14770.0,1905
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_1,6,1000/(n),OA Kelley 50,65.1124439239502,11949.0,1298
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_1,8,1000/(n),OA Kelley,200.2440869808197,36063.0,3289
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_1,8,1000/(n),OA Kelley 50,181.68830704689026,30213.0,2562
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_1,10,1000/(n),OA Kelley,110.66487503051758,46533.0,2140
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_1,10,1000/(n),OA Kelley 50,67.66881489753723,26107.0,1263
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_1,12,1000/(n),OA Kelley,5.233335971832275,3590.0,228
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_1,12,1000/(n),OA Kelley 50,14.581747055053711,1621.0,75
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_1,300,1000/(n),OA Kelley,16.540253162384033,12933.0,383
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_1,300,1000/(n),OA Kelley 50,41.63265609741211,17392.0,391
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_2,6,1000/(n),OA Kelley,13.581497192382812,6968.0,824
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_2,6,1000/(n),OA Kelley 50,19.882123947143555,4395.0,503
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_2,8,1000/(n),OA Kelley,53.768352031707764,20744.0,1703
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_2,8,1000/(n),OA Kelley 50,51.802165031433105,15932.0,1187
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_2,10,1000/(n),OA Kelley,41.08775806427002,28958.0,1180
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_2,10,1000/(n),OA Kelley 50,30.36070489883423,12693.0,659
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_2,12,1000/(n),OA Kelley,0.7824020385742188,495.0,27
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_2,12,1000/(n),OA Kelley 50,11.125643014907837,176.0,5
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_2,300,1000/(n),OA Kelley,1.886070966720581,1260.0,66
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_2,300,1000/(n),OA Kelley 50,12.317775964736938,756.0,31
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_3,6,1000/(n),OA Kelley,40.37257790565491,19792.0,1118
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_3,6,1000/(n),OA Kelley 50,49.664777994155884,15311.0,852
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_3,8,1000/(n),OA Kelley,61.22014307975769,34668.0,1290
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_3,8,1000/(n),OA Kelley 50,51.05810618400574,22397.0,724
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_3,10,1000/(n),OA Kelley,337.9088921546936,127458.0,3224
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_3,10,1000/(n),OA Kelley 50,303.50440287590027,95131.0,2694
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_3,12,1000/(n),OA Kelley,5.089950084686279,4027.0,83
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_3,12,1000/(n),OA Kelley 50,18.739905834197998,2526.0,61
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_3,300,1000/(n),OA Kelley,13.795935153961182,9801.0,117
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_3,300,1000/(n),OA Kelley 50,22.049410820007324,4246.0,74
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_4,6,1000/(n),OA Kelley,67.07062411308289,15779.0,1821
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_4,6,1000/(n),OA Kelley 50,81.25733399391174,15319.0,1562
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_4,8,1000/(n),OA Kelley,164.16173195838928,41635.0,3101
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_4,8,1000/(n),OA Kelley 50,156.23369216918945,32772.0,2547
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_4,10,1000/(n),OA Kelley,183.17164301872253,58469.0,3592
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_4,10,1000/(n),OA Kelley 50,150.73279905319214,43068.0,3015
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_4,12,1000/(n),OA Kelley,9.462531089782715,6594.0,187
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_4,12,1000/(n),OA Kelley 50,21.238627910614014,4527.0,127
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_4,300,1000/(n),OA Kelley,23.496108055114746,13582.0,224
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_4,300,1000/(n),OA Kelley 50,33.89529204368591,9544.0,186
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_5,6,1000/(n),OA Kelley,4.868817090988159,2093.0,338
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_5,6,1000/(n),OA Kelley 50,11.362852811813354,844.0,115
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_5,8,1000/(n),OA Kelley,6.212741851806641,4204.0,339
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_5,8,1000/(n),OA Kelley 50,11.325114011764526,1155.0,77
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard400_5,10,1000/(n),OA Kelley,7.783375978469849,4274.0,373
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
