Instance, cardinality, regularizer, method, solvetime, nodecount, iters,,
beasley1,5,100/sqrt(n),CPLEX Big-M,9.321606874,119225,,,
beasley1,5,100/sqrt(n),CPLEX MISOCP,0.826944113,47,,,
beasley1,5,100/sqrt(n),OA,0.220828772,161,32,,
beasley1,10,100/sqrt(n),CPLEX Big-M,1969.168407,3.04E+07,,,
beasley1,10,100/sqrt(n),CPLEX MISOCP,0.8395648,44,,,
beasley1,10,100/sqrt(n),OA,0.202677011,159,28,,
beasley1,20,100/sqrt(n),CPLEX Big-M,258.3590581,4.97E+06,,,
beasley1,20,100/sqrt(n),CPLEX MISOCP,0.0459342,0,,,
beasley1,20,100/sqrt(n),OA,0.162929058,0,7,,
beasley2,5,100/sqrt(n),CPLEX Big-M,3600.000212,1.50E+07,,,
beasley2,5,100/sqrt(n),CPLEX MISOCP,91.97739482,1163,,,
beasley2,5,100/sqrt(n),OA,48.28714895,73852,1961,,
beasley2,10,100/sqrt(n),CPLEX Big-M,3600.63987,2.09E+07,,,
beasley2,10,100/sqrt(n),CPLEX MISOCP,82.44179988,902,,,
beasley2,10,100/sqrt(n),OA,807.290961,243476,6433,,
beasley2,20,100/sqrt(n),CPLEX Big-M,3600.109776,2.11E+07,,,
beasley2,20,100/sqrt(n),CPLEX MISOCP,24.54427195,210,,,
beasley2,20,100/sqrt(n),OA,6.349854946,8855,902,,
beasley3,5,100/sqrt(n),CPLEX Big-M,3600.000908,1.47E+07,,,
beasley3,5,100/sqrt(n),CPLEX MISOCP,213.328578,2528,,,
beasley3,5,100/sqrt(n),OA,175.2012148,132667,3187,,
beasley3,10,100/sqrt(n),CPLEX Big-M,3600,"20,710,000",,,"(Accidentally deleted this entry, so copied it back from table 5; can reproduce by rerunning relevant code but didn't want to spend an hr)"
beasley3,10,100/sqrt(n),CPLEX MISOCP,531.2767131,5776,,,
beasley3,10,100/sqrt(n),OA,3600.040981,439394,9851,,
beasley3,20,100/sqrt(n),CPLEX Big-M,3600.00142,2.22E+07,,,
beasley3,20,100/sqrt(n),CPLEX MISOCP,21.32319808,170,,,
beasley3,20,100/sqrt(n),OA,119.545706,65178,4473,,
beasley4,5,100/sqrt(n),CPLEX Big-M,3600.000625,1.24E+07,,,
beasley4,5,100/sqrt(n),CPLEX MISOCP,2778.961235,25180,,,
beasley4,5,100/sqrt(n),OA,2689.707863,479721,11315,,
beasley4,10,100/sqrt(n),CPLEX MISOCP,3600.00187,30185,,,
beasley4,10,100/sqrt(n),OA,3600,"311,200","12,400",,"(Accidentally deleted this entry, so copied it back from table 5; can reproduce by rerunning relevant code)"
beasley4,20,100/sqrt(n),CPLEX Big-M,3600,20952255,,,"(Julia didn't write to .csv as file was open, so recorded manually)"
beasley4,20,100/sqrt(n),CPLEX MISOCP,148.8613172,1115,,,
beasley4,20,100/sqrt(n),OA,1638.039754,241584,10710,,
beasley5,5,100/sqrt(n),CPLEX Big-M,3600.000957,5.00E+06,,,
beasley5,5,100/sqrt(n),CPLEX MISOCP,28.29072309,22,,,
beasley5,5,100/sqrt(n),OA,0.852108955,1489,202,,
beasley5,10,100/sqrt(n),CPLEX MISOCP,3.331660032,0,,,
beasley5,10,100/sqrt(n),OA,0.601636887,73,41,,
beasley5,20,100/sqrt(n),CPLEX Big-M,3600.000398,1.10E+07,,,
beasley5,20,100/sqrt(n),CPLEX MISOCP,115.0206909,90,,,
beasley5,20,100/sqrt(n),OA,0.385597944,63,52,,
