Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,5,100/sqrt(n),OA,0.16517090797424316,0.0,1.798656543185941e11,0.0,4
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,5,100/sqrt(n),CPLEX MISOCP,0.5542449951171875,0.0,0.0,0.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank75,5,100/sqrt(n),OA,0.012370109558105469,0.0,1.2493648903347124e11,0.0,4
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank75,5,100/sqrt(n),CPLEX MISOCP,0.8767049312591553,0.0,0.0,0.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,5,100/sqrt(n),OA,0.011004924774169922,0.0,1.1395474818156117e11,0.0,4
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,5,100/sqrt(n),CPLEX MISOCP,1.2091059684753418,0.0,0.0,0.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank150,5,100/sqrt(n),OA,0.012356996536254883,0.0,7.845630800435027e10,0.0,4
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank150,5,100/sqrt(n),CPLEX MISOCP,1.7566490173339844,0.0,0.0,0.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank200,5,100/sqrt(n),OA,0.013525962829589844,0.0,5.78760735604591e10,0.0,4
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank200,5,100/sqrt(n),CPLEX MISOCP,2.3256640434265137,0.0,0.0,0.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,10,100/sqrt(n),OA,0.011306047439575195,0.0,1.8013337953370853e11,0.0,4
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,10,100/sqrt(n),CPLEX MISOCP,0.5145699977874756,0.0,0.0,0.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank75,10,100/sqrt(n),OA,0.01908588409423828,0.0,1.250662563839025e11,0.0,4
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank75,10,100/sqrt(n),CPLEX MISOCP,2.2234740257263184,0.0,0.0,0.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,10,100/sqrt(n),OA,0.012672185897827148,0.0,1.1406232230461179e11,0.0,4
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,10,100/sqrt(n),CPLEX MISOCP,1.3029439449310303,0.0,0.0,0.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank150,10,100/sqrt(n),OA,0.015763044357299805,0.0,7.850746569414316e10,0.0,4
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank150,10,100/sqrt(n),CPLEX MISOCP,2.0058200359344482,0.0,0.0,0.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank200,10,100/sqrt(n),OA,0.020014047622680664,0.0,5.790389851944716e10,0.0,4
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank200,10,100/sqrt(n),CPLEX MISOCP,7.77111291885376,0.0,0.0,0.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,50,100/sqrt(n),OA,0.020088911056518555,0.0,1.80244538743462e11,0.0,4
