Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,5,1/sqrt(n),OA,0.423572063,9.61E-05,4.48E+11,262,81
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,5,1/sqrt(n),CPLEX MISOCP,16.39457297,1.18E-05,1.18E-05,40,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank75,5,1/sqrt(n),OA,0.696927786,9.86E-05,4.48E+11,500,162
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank75,5,1/sqrt(n),CPLEX MISOCP,23.72448897,2.08E-05,2.08E-05,26,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,5,1/sqrt(n),OA,2.733741045,9.16E-05,4.48E+11,1429,444
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,5,1/sqrt(n),CPLEX MISOCP,32.64917898,1.66E-05,1.66E-05,17,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank150,5,1/sqrt(n),OA,0.01046586,9.66E-05,4.48E+11,0,3
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank150,5,1/sqrt(n),CPLEX MISOCP,42.66900182,4.02E-05,4.02E-05,20,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank200,5,1/sqrt(n),OA,9.348779917,9.95E-05,4.48E+11,7591,790
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank200,5,1/sqrt(n),CPLEX MISOCP,69.08736491,3.37E-05,3.37E-05,21,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,10,1/sqrt(n),OA,0.009267092,9.82E-05,8.95E+11,0,3
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,10,1/sqrt(n),CPLEX MISOCP,73.27775002,2.90E-05,2.90E-05,210,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank75,10,1/sqrt(n),OA,0.016985893,9.29E-05,8.95E+11,1,4
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank75,10,1/sqrt(n),CPLEX MISOCP,211.6946681,2.22E-05,2.22E-05,400,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,10,1/sqrt(n),OA,2.006722927,9.98E-05,8.95E+11,972,344
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,10,1/sqrt(n),CPLEX MISOCP,339.8383629,3.13E-05,3.13E-05,420,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank150,10,1/sqrt(n),OA,3.967148781,9.61E-05,8.95E+11,1633,410
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank150,10,1/sqrt(n),CPLEX MISOCP,268.3434179,3.18E-05,3.18E-05,157,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank200,10,1/sqrt(n),OA,5.202422857,9.86E-05,8.95E+11,2804,450
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank200,10,1/sqrt(n),CPLEX MISOCP,344.9615769,3.22E-05,3.22E-05,171,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,50,1/sqrt(n),OA,0.28092289,7.65E-05,4.48E+12,108,45
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,50,1/sqrt(n),CPLEX MISOCP,78.59498096,4.79E-05,4.79E-05,499,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank75,50,1/sqrt(n),OA,0.184679031,8.36E-05,4.48E+12,46,30
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank75,50,1/sqrt(n),CPLEX MISOCP,137.062355,4.23E-05,4.23E-05,360,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,50,1/sqrt(n),OA,0.32428503,9.31E-05,4.48E+12,104,41
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,50,1/sqrt(n),CPLEX MISOCP,283.793488,3.53E-05,3.53E-05,410,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank150,50,1/sqrt(n),OA,0.285937071,7.85E-05,4.48E+12,62,33
