Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,5,100/sqrt(n),OA,0.21457791328430176,0.0,4.1821765568154863e12,13.0,14
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,5,100/sqrt(n),CPLEX MISOCP,11.471459150314331,0.0,0.0,11.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,5,100/sqrt(n),OA,0.06382298469543457,0.0,2.54693711969513e12,29.0,18
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,5,100/sqrt(n),CPLEX MISOCP,24.372395038604736,0.0,0.0,15.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank150,5,100/sqrt(n),OA,0.09422087669372559,0.0,1.3825073996998413e12,31.0,22
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank150,5,100/sqrt(n),CPLEX MISOCP,137.55050587654114,0.0,0.0,45.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank200,5,100/sqrt(n),OA,0.07182812690734863,0.0,7.905131873797993e11,24.0,18
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank200,5,100/sqrt(n),CPLEX MISOCP,150.11397099494934,0.0,0.0,27.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank250,5,100/sqrt(n),OA,0.1890411376953125,0.0,5.596362470340366e11,80.0,36
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank250,5,100/sqrt(n),CPLEX MISOCP,177.71602201461792,0.0,0.0,25.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank300,5,100/sqrt(n),OA,0.1287238597869873,0.0,4.203632120187465e11,53.0,27
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank300,5,100/sqrt(n),CPLEX MISOCP,264.83454990386963,0.00036780347816962335,0.00036780347816962335,29.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,10,100/sqrt(n),OA,0.03880906105041504,0.0,4.461873872905787e12,1.0,11
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,10,100/sqrt(n),CPLEX MISOCP,7.573563098907471,0.0,0.0,3.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,10,100/sqrt(n),OA,0.031092166900634766,0.0,2.6507820662942563e12,2.0,9
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,10,100/sqrt(n),CPLEX MISOCP,11.50216293334961,0.0,0.0,5.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank150,10,100/sqrt(n),OA,0.05948495864868164,0.0,1.412453189544629e12,3.0,13
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank150,10,100/sqrt(n),CPLEX MISOCP,51.55044388771057,0.0,0.0,16.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank200,10,100/sqrt(n),OA,0.062193870544433594,0.0,7.997848430110647e11,1.0,10
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank200,10,100/sqrt(n),CPLEX MISOCP,31.33404302597046,0.0,0.0,5.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank250,10,100/sqrt(n),OA,0.0649569034576416,0.0,5.645504023286761e11,9.0,13
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank250,10,100/sqrt(n),CPLEX MISOCP,48.52216911315918,0.0,0.0,7.0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank300,10,100/sqrt(n),OA,0.059906005859375,0.0,4.231316438797703e11,1.0,12
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
