Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,10,1/sqrt(n),OA,12.38347101,0.01%,6.46E+11,2468,316
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,10,1/sqrt(n),CPLEX MISOCP,600.01,2.10E-05,2.10E-05,545,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,10,1/sqrt(n),OA,272.3162141,0.01%,6.46E+11,49200,1266
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,10,1/sqrt(n),CPLEX MISOCP,600.0195529,0.00%,2.52E-05,400,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank200,10,1/sqrt(n),OA,24.14645696,0.01%,6.46E+11,8200,318
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank200,10,1/sqrt(n),CPLEX MISOCP,600.033272,31.20%,0.312032377,138,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank300,10,1/sqrt(n),OA,8.994837046,0.01%,6.46E+11,1200,246
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank300,10,1/sqrt(n),CPLEX MISOCP,600.028486,0.01%,0.00010171,70,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,50,1/sqrt(n),OA,0.320498943,0.01%,3.23E+12,0,7
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,50,1/sqrt(n),CPLEX MISOCP,600.0232961,3.71E-05,3.71E-05,900,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,50,1/sqrt(n),OA,1.321604013,0.01%,3.23E+12,10,13
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,50,1/sqrt(n),CPLEX MISOCP,600.006551,0.00%,4.92E-05,400,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank200,50,1/sqrt(n),OA,600.0122261,0.01%,3.23E+12,86021,1433
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank200,50,1/sqrt(n),CPLEX MISOCP,600.0343509,0.02%,0.0001807,100,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank300,50,1/sqrt(n),OA,600.027144,0.02%,3.23E+12,61100,1227
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank300,50,1/sqrt(n),CPLEX MISOCP,600.04933,63.35%,0.63354733,78,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,100,1/sqrt(n),OA,0.813019037,0.00%,6.46E+12,10,14
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,100,1/sqrt(n),CPLEX MISOCP,600.009161,8.40E-05,8.40E-05,1048,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,100,1/sqrt(n),OA,15.52746415,0.01%,6.46E+12,5721,250
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,100,1/sqrt(n),CPLEX MISOCP,600.0166788,0.01%,9.38E-05,599,0
