Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,5,100/sqrt(n),OA,0.261493921,0,1.17E+12,2,9
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,5,100/sqrt(n),CPLEX MISOCP,20.57155108,0,0,3,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,5,100/sqrt(n),OA,0.070997,0,6.81E+11,6,11
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank100,5,100/sqrt(n),CPLEX MISOCP,40.9737401,0,0,4,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank200,5,100/sqrt(n),OA,0.068145037,0,3.89E+11,3,10
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank200,5,100/sqrt(n),CPLEX MISOCP,62.73822284,0,0,3,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank300,5,100/sqrt(n),OA,0.08799386,0,2.78E+11,9,13
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank300,5,100/sqrt(n),CPLEX MISOCP,198.443397,0,0,7,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank400,5,100/sqrt(n),OA,0.13261199,0,2.20E+11,4,12
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank400,5,100/sqrt(n),CPLEX MISOCP,325.97486,0,0,7,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank500,5,100/sqrt(n),OA,0.114418983,0,1.82E+11,4,12
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank500,5,100/sqrt(n),CPLEX MISOCP,805.449388,0,0,7,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank1000,5,100/sqrt(n),OA,0.186538935,0,1.03E+11,4,14
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank1000,5,100/sqrt(n),CPLEX MISOCP,3268.917053,0,0,9,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,10,100/sqrt(n),OA,0.03087306,0,1.20E+12,0,4
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
rank50,10,100/sqrt(n),CPLEX MISOCP,5.454334974,0,0,0,0
Instance, cardinality, regularizer, method, solvetime, boundgap, boundgapSOCP, nodecount, number of iterations
